symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,rsquared_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance,rsquared_variance
EURCOP=X,171,0,4617,log-return,1,6.358636756739429e-08,1.2941835473733075e-08,-2.8760958808177323e-05,1.089545840956498e-05,5.15289394771365e-05,6.228881182785709e-05,4.2254973869694135e-05,0.5185919309241651,199,4577,0.00889671404869873,8709.63091552178,1.0949019694290694e-07,2.6967659749041615e-07,1.550229249045496e-06,1.5187053813972282,-9.552792914779898,9351917.155249028,6.398016096061738e-06,0.8792755205459314
EURCOP=X,230,0,4600,log-return volatility,1,-0.0005973184063060585,6.140312185856578e-05,1.118528850480343,0.048027872326199435,0.20029479547605178,0.2708151673198899,0.17812312548547923,0.9739276854906644,219,4599,0.6454339201272783,54780.77494862928,0.008659849500541017,0.02570412161355781,0.0017159683467573887,145.6456661847429,-909.4396146778846,77188829.48343317,0.5800456769563372,0.9089101568469827
EURUSD=X,244,0,4880,absolute log-return,1,-5.274013649100954e-07,6.556239014505773e-08,0.0008274112022464332,5.26467826425228e-05,6.08635216350964e-05,0.00029698746780875725,0.00017295912946536105,0.9402610011163067,244,4880,0.00043907927800100285,0.2968677515704611,2.6611539348606744e-07,3.1331878735574256e-07,6.881976321124048e-05,0.04660118365588079,0.036030786512797425,24.84335993022253,7.680724177036955e-06,0.6904736334852235
EURUSD=X,218,0,5014,log-return,1,-4.361123607621744e-08,6.602316201158885e-09,1.902773095730369e-05,5.801940579449504e-06,5.53451058534794e-06,3.359276721328362e-05,2.5805027145475498e-05,0.693656533819271,244,4880,2.66950513618575e-05,9.79300761197014e-06,4.6186771724615754e-07,3.736175651514071e-07,0.0019030621328065581,0.002009544519709814,-0.009636453592326469,0.009147251423337993,9.28966075563073e-06,0.7393945945945031
EURUSD=X,244,0,4880,log-return volatility,1,-0.0003696951759580232,4.4080270743139474e-05,0.6744346853920421,0.035396596631030675,0.14936901095817728,0.19967678247717585,0.11744327486970452,0.9609667992941954,244,4880,0.005399348229025724,0.0009952486589988338,0.02430945113771292,0.018238290015199707,0.49235633900200637,0.3791648038990867,-2.989679383444371,1.350328183923268,0.45537630753404984,0.8144960706362827
GBPUSD=X,250,0,5000,absolute log-return,1,-4.005629641391972e-07,6.685227677828495e-08,0.0006993213401371169,5.619910773749119e-05,0.00018777728494431066,0.0003223791128525925,0.00021248827333176815,0.9043508819251875,247,4940,7.930103995474096e-06,1.9247201465874538e-06,1.180953792285961e-07,5.6649415635577065e-08,0.0015302295514840656,0.00038512323523175277,-0.008591552495475021,0.0015768738791996236,1.357337499340789e-06,0.8023234803472774
GBPUSD=X,5,0,5025,log-return,1,8.432862778478035e-08,4.997282788256656e-09,-0.0002655479041696321,7.1923926295003925e-06,0.0017994298202955302,4.388132482840259e-05,5.003329819669756e-05,0.6905729754801664,247,4940,1.0571663713642303e-05,2.583574846693675e-06,2.4104378256090125e-07,1.0395171050256123e-07,0.0023335802419793294,0.0004634150669776318,-0.013765997730866416,0.0017681968943348736,2.644584978594187e-06,0.8362026831668361
GBPUSD=X,250,0,5000,log-return volatility,1,-0.0007098405524554015,9.379076964514257e-05,1.4665352000148728,0.07884485663570447,0.35715409354035516,0.4522835478898852,0.27809204831094486,0.9576462138667426,247,4940,0.006934884810824226,0.0018453419332381494,0.09378391264454013,0.04774229122896391,1.39422950663238,0.35622960043615537,-8.485765777050437,1.294010833072761,1.2221452518344424,0.8583721670795007
HKD=X,1,0,5472,absolute log-return,1,-5.956782935285712e-08,9.332537009300705e-10,0.00014834904317130503,1.5991679907899755e-06,-0.0006937288247247905,1.0075057007358396e-05,3.249127104062929e-05,0.6568681350484618,105,5460,5.920949982527106e-06,1.0005620285637863e-05,4.720009354087761e-09,1.5378420912453113e-09,8.829022672560061e-05,0.00017431184523417783,0.0005148725787113944,0.002674753983975254,1.0398197365132127e-07,0.753624958762732
HKD=X,114,0,5472,log-return,1,9.316779035651662e-10,2.1177254840548841e-10,-5.895363516735439e-07,2.439552568048047e-07,4.853736417216306e-07,1.4823582702990075e-06,1.2314149328602038e-06,0.3157591160771378,105,5460,1.0505337682019935e-05,5.9269732316452194e-05,5.118592100383299e-09,1.7456422859725954e-09,5.423074938392868e-05,0.00032213346458652913,0.0014519281010432832,0.011681771194882428,1.1932963174950436e-07,0.757671991868906
HKD=X,142,0,5396,log-return volatility,1,-0.0026695547785185307,0.00022763461021511932,4.940553258195489,0.23963666206033282,2.2013153974213826,1.4505235847621507,0.8583235233427374,0.9304014491150386,111,5439,5.340417228789367,17294.745026490087,2.2675606449470354,0.7238734435020333,0.0473499451160409,153.35429400482136,736.8458626602626,2387908.3932775958,48.838360455825296,0.8245809982729242
