symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,average_error_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,average_error_variance
KYDUSD=X,60,0,3960,log-return volatility,1,0.0008577891232285113,5.771954666806458e-05,-2.176856632576076,0.08502631865245328,16.22190351630096,0.5307118370376724,940.8704039454551,60,3960,0.016773286445846976,0.0006292727725975854,0.7165679299399722,0.03463762945746364,4.30611463381264,0.06435989339347857,-22.501708531497936,0.26286888677762127,42320.17781471676
MXN=X,193,0,5018,absolute log-return,1,9.437019563735649e-08,5.700602111789285e-08,0.0005966601632508768,5.1966610804230996e-05,8.409352543477832e-07,0.0003029540076644412,0.00021431588793298023,212,4876,2.9734819307758556e-05,0.00010017794811805451,1.5251936381768724e-07,1.30888944109193e-07,0.0005635531254361858,0.002333752497100495,-0.00023803852027709155,0.021264939068324752,2.1533456934906096e-05
MXN=X,240,0,4800,log-return,1,4.6102468998974526e-08,1.010296046642047e-08,-6.1066768682932045e-06,8.189025179517033e-06,-4.0985634935582206e-07,4.667395993990673e-05,3.435939269168005e-05,212,4876,2.0483659189538614e-05,5.266748701374359e-06,2.850917343449842e-07,1.6901354027854383e-07,0.0014867172772582526,0.0011422967189353753,-0.006817983237545732,0.0056867869258067335,0.001627501583389586
MXN=X,242,0,4840,log-return volatility,1,-0.0004834427844042136,7.182993655006292e-05,1.161451512855266,0.05859333581045472,0.25041504696884853,0.3342886499962984,4.75788590225805,212,4876,0.008155190701903074,0.0010432305129867612,0.062028652419712185,0.03334810288921392,0.8085569008129958,0.41442616932669935,-4.336561595163782,1.7460327252623464,562.9813407488242
MYR=X,81,0,5022,absolute log-return,1,1.337143982739425e-08,6.964828505654244e-08,0.0004688178326916907,7.904729791670891e-05,1.6005938386554284e-07,0.0004742306677448059,0.0004025457545921911,223,4906,0.014474169964408458,3387.08435943778,1.2176817072570905e-07,2.3053178049616512e-08,9.573644597424581e-07,0.22403190054138886,0.0005798225977072375,137.93820515866085,2.0228379872350205e-06
MYR=X,217,0,4774,log-return,1,4.3249988937813045e-08,1.0017845756608412e-08,-2.2499955866657022e-05,7.65088004955396e-06,2.163172785218832e-05,4.353203317355732e-05,0.0004110028291829204,220,4840,5.126855118952597e-05,0.00020227576817061953,1.9951578556408433e-07,8.154778456434088e-08,0.00043624121062964434,0.0018789280643300853,6.678199774039418e-05,0.018268692079027718,5.045794035579122e-06
MYR=X,243,0,4860,log-return volatility,1,-0.0011141596596002078,0.00011899823811772445,2.143175655211068,0.09705105036707778,0.4449677593221452,0.5542584560809826,8.454387427526823,238,4998,0.3631771568462586,93.3299505606334,0.19735230643629445,0.09346179592532039,0.0611082734807788,15.72927183014511,-1.6347661341731483,270.0595262687785,14.491599010049486
NZD=X,249,0,4980,absolute log-return,1,-6.245613009134382e-07,8.414209730410915e-08,0.0010348628515460066,7.048098928120211e-05,0.00011822957985173661,0.0004040508174184719,0.002364591597571592,249,4980,1.3818224627948755e-05,2.2613325901119148e-06,3.369038802669248e-07,1.1622869437317082e-07,0.002541128696871778,0.00047689871772031294,-0.01401314688607257,0.002004306175901073,0.005178562889991253
NZD=X,199,0,4975,log-return,1,2.4808317159028895e-08,1.0669356647090227e-08,-1.4614710616023022e-05,9.541775848606696e-06,-1.406015519813964e-07,5.5436468972549816e-05,3.483196347514376e-05,164,4920,0.00040775655856613345,26.286732858348493,1.1121067944882464e-08,2.202491655942989e-07,5.803292948529432e-06,0.37170035544490937,-2.1814388215673635,140647.14873053375,0.0027891584244946017
NZD=X,248,0,4960,log-return volatility,1,-0.0009630127466549439,0.00011284112962551505,1.8073968996583283,0.09418147208351042,0.3958868243408991,0.5395783647508079,7.917736485044768,249,4980,0.010610834473374995,0.0017572622475314512,0.21158458520676632,0.06961287187186352,2.0744866350322715,0.3498793589362016,-12.131453756398832,1.3560592906204327,3659.9103551628837
OMRUSD=X,59,0,5015,absolute log-return,1,-1.8344844251576607e-07,4.835974734517467e-08,0.0002013348708116267,8.168941272205029e-05,0.00031539412326498555,0.0005132280645650915,0.02176219450537343,113,4972,0.03795951161153271,150865.4556498456,7.191197397334868e-08,2.5471981190423408e-08,2.1777919057393815e-07,0.8655369090650417,-1.5925601618813214,6329428.160942216,9.617560117766427e-05
OMRUSD=X,112,0,4928,log-return,1,5.338426315143998e-09,1.1994370443229536e-08,4.231345323060549e-06,2.0075466374891116e-05,-5.4204571025940025e-05,0.00012553280108340738,0.002005569127955738,58,4988,0.004904352344438381,425.48444884389886,9.538294424812287e-08,4.559954731838411e-08,2.215688372221052e-06,0.19232175711016522,0.1694579108494428,14703.431669922567,0.00018054495261950702
OMRUSD=X,59,0,5015,log-return volatility,1,-0.0004026459369951435,0.0001340724352767188,1.1598488329231051,0.22647550739343394,3.648065764588272,1.4228720682891378,251.71653775778822,58,4988,0.037148370108666076,0.01636632925429707,0.46780329112050983,0.1399956242067994,1.387273633761141,0.9512075384539815,-3.511526964733129,6.7100441863183145,2342.609334145187
PHP=X,104,0,4992,absolute log-return,1,-2.79629473335536e-07,6.711520158350209e-08,0.0005587076190655968,0.00011686121379463167,-1.579162296644977e-06,0.0007384068225344414,0.0001889435712919828,209,4807,7.16255535990915e-06,1.784232459186809e-06,5.043226930988142e-08,4.8522842794690156e-08,0.0007149537931386105,0.0006774710706114319,-0.003616858737282567,0.0030614203096137895,0.00041273017433074774
PHP=X,181,0,4887,log-return,1,1.4266577824117718e-07,2.4471671239672224e-08,-0.00019398094523058557,4.3155056634445386e-05,0.0010115253509865938,0.00027254931068313403,0.024276608423666232,198,4950,1.3765812886638455e-05,1.089347230891178e-05,8.157244646419748e-08,5.967799431189748e-08,0.0006393299218157612,0.000927002757548029,-0.004660240570468969,0.0021087144943498256,0.000503446342968769
