symbol,window_size_mean,drift_degree,step_mean,time_series,p_norm,cumulant_1_mean,error_cumulant_1_mean,tfs_param_mean,error_tfs_param_mean,drift_coefficient_0_mean,error_drift_coefficient_0_mean,drift_coefficient_1_mean,error_drift_coefficient_1_mean,drift_coefficient_2_mean,error_drift_coefficient_2_mean,average_error_mean,window_size_variance,step_variance,cumulant_1_variance,error_cumulant_1_variance,cumulant_2_variance,error_cumulant_2_variance,tfs_param_variance,error_tfs_param_variance,drift_coefficient_1_variance,error_drift_coefficient_1_variance,drift_coefficient_2_variance,error_drift_coefficient_2_variance,drift_coefficient_3_variance,error_drift_coefficient_3_variance,average_error_variance
^IXIC,1,2,13150,log-return volatility,1,5.502508601235635e-05,4.5644776631411183e-07,-0.04946256043401773,0.0017410998951896722,-364292067.3505177,496428422.0485535,-33488.66507070404,73273.51239113201,10.124507860873223,0.24420597035718894,0.06770503245174651,470,12690,0.0004171870323165675,0.0008407078125806401,0.002583980285765082,0.005048397379383376,0.45271372058286263,0.23585798159550644,-7232770.668581529,8665757109836.396,2281.6629471018373,1152191117.8301313,-0.1325044169106983,60482.993170970425,0.44210387152614977
^MERV,159,2,6360,absolute log-return,1,-9.230739946400394e-07,2.079246034003459e-07,0.0023814646660388285,0.0004595377424363662,-342020688.68719697,25347084146.933117,-54457.81977160685,6899716.610996342,37.73852677833774,3089.5951497776355,0.0006767505503223071,250,6250,3.7712390581649216e-06,6.26255712984572,-1.982341041191621e-08,9.076985212412349e-07,-2.5578497519619644e-06,4.2242309204644,4519.398497431973,23528818363.40182,-1.3801699712230502,7636019.377391609,-1.5489441460475974e-05,104.95030681337711,3.1444842218546856e-05
^MERV,216,2,6480,log-return,1,1.3320476971522172e-07,8.99311491260671e-08,-3.900579025837594e-05,0.0002037503286463414,782545198.1570109,20176771382.710773,345281.076777678,6663572.780080356,-133.60823599843977,2812.097174859105,0.00016282900288252638,242,6292,0.03900265927359589,181943.28279780468,3.039756063409841e-08,3.447857506989968e-07,1.8440900162022362e-07,0.8612043638790712,324.2018857174698,2009213723.711939,6.228863911953706,34204894.46533886,-0.0014821973754593123,8012.2516323865775,5.2629543450314955e-05
^MERV,3,2,6480,log-return volatility,1,-2.195710573335435e-06,7.78378221299742e-08,0.005253786259756655,0.00014817816175936348,2490477.0283465153,259435741.05796823,101513.42591206956,113472.47097573889,-23.662028684593952,7.7458879158824105,0.001680384667301693,250,6250,0.6427672025098332,2164656.0724274684,-8.309435197022377e-07,1.999169751188299e-06,-8.816642240780947e-08,0.2961813187139866,-2218.51212896729,10178853070.248451,3.6969727735797187,15660333.950663133,-0.0006818359248690589,3902.3186968725267,0.0002683788428752043
^N225,5,2,14315,absolute log-return,1,2.7502257990660204e-07,4.9742329957674634e-09,-0.0005685088441126987,2.0829977401570584e-05,-160191373.6166823,35521042.680651926,-24589.317355530537,1214.4487215241338,4.8819011965093155,0.6395666946668748,0.0003782916847819322,539,14014,0.01734034413746775,14145.381969617432,-2.672018628015148e-08,1.1770048032803852e-08,-1.7384642391725243e-07,0.14190126168546718,-80655.89031275692,356272450334.9188,2.304836270698256,18131724.497969087,0.0009292168708957283,5928.023203008745,4.132307745331902e-06
^N225,535,2,13910,log-return,1,-4.109810550314824e-08,7.309370669146494e-09,7.917590523789188e-05,3.1698178927789774e-05,509629796.9050178,7110935617.68119,-79347.90294511334,785076.9060832245,0.6424888730864778,57.62697534033887,4.7042685307370735e-05,539,14014,-2.577944421519531e-06,6.50763900285379e-06,-3.334899970915733e-08,8.750846429541114e-08,0.0016970820809207021,0.001150661075714773,-169758.07647268585,32065336807.399296,-11.673178481077604,6523989.793854195,0.0036732113401205294,502.4030972393307,7.47088190855045e-06
^N225,1,2,14319,log-return volatility,1,1.4581481939243884e-05,2.3552933038580087e-07,0.10551018929625912,0.0009803283338242872,116897616.18332925,43491886.86807721,15390.459874919148,37840.24527667969,-3.296900270437197,3.325970525603646,0.023770376206600642,539,14014,-0.0007269373151879314,0.001955045415131065,-0.0012015475045398902,0.002023359139710768,0.18572487332445473,0.2442907801018926,-9007789.192017823,7682547893319.306,847.7082633676011,1261378191.3398361,0.04241866179610582,75778.16786656459,0.1666502268520853
^STI,323,2,8721,absolute log-return,1,-2.2036482829406333e-07,8.955697011306087e-08,0.0011149962267007266,0.00026332595118707574,-257783710.52508205,63718849447.016174,-7218.476770270129,9809354.251475941,11.202319410181607,991.5757541629362,0.0003436023379016294,314,8792,9.962362691605121e-06,1.3931104719921458e-06,1.8944651779869117e-07,8.999927941131613e-08,0.0019289808635676792,0.0007207331103028866,4662.087000458937,4435460934.225317,-45.36162957714479,1329081.4344601517,0.0074255950588540814,281.39784112887014,5.253426102167251e-06
^STI,11,2,8800,log-return,1,7.584578723361318e-08,6.482581996367209e-09,-0.0005124912462530402,1.6803562078589566e-05,-354373259.6381414,169355231.2498784,-71858.84077312653,14212.437586187194,25.960743506379156,8.97762229281286,8.187756008280365e-05,314,8792,1.4532662637157195e-05,1.6772957073492025e-06,4.841660390932661e-07,1.477787040811454e-07,0.0033313255134550797,0.000676270039237824,-8695.82909737898,3190652682.4320307,26.641267979065123,4408775.548380005,-0.0041339498927920135,716.1702700750214,8.785280433762734e-06
^STI,11,2,8800,log-return volatility,1,-1.8513134916845173e-05,6.950866513240394e-06,0.12245246750214772,0.01798189846787816,-332870498.6494586,81517174440.10843,-21965.484390160495,5579560.274045236,16.62901660011862,2205.83076967936,0.08586083502679225,324,8748,0.0028032630851267714,0.00038302873822586053,0.01895152215478226,0.0064138961270225215,0.6756028395704855,0.14471905007522984,9074726.36251752,5876177481430.525,-72.68966822122758,39495469.54666121,-0.32508352016106007,220259.69999427942,0.3592473962869336
^W5000,331,2,8606,absolute log-return,1,1.3175881005939727e-07,1.0525837118633373e-07,0.0007145653072327965,0.00033367696306610444,134269976.96874586,36161713982.906395,8607.942671554361,8180293.470735443,-6.808142611918228,1090.155214835235,0.00038771155342698626,333,8325,9.105676218156128e-06,1.5175073717959272e-06,2.758762353612756e-07,8.250012371617319e-08,0.002878716204271249,0.0004339917684439468,-130087.53518332134,15441590488.61232,0.8318295286947425,314742.5372776053,0.005373685042662398,671.4629827563876,4.442676345524593e-06
^W5000,331,2,8606,log-return,1,-4.3933789699429856e-08,1.2350648545463168e-08,6.746670720106226e-05,3.769932179952138e-05,181342387.75104794,11500633099.001373,-725.8544902007326,792395.7513029762,-7.082721009971608,368.4811857963938,4.6519769182632335e-05,334,8350,1.290234249710529e-05,1.8686699905603229e-06,5.371885904117318e-07,1.4150258376584303e-07,0.0039833960679423065,0.0005317989140438482,5.073384698615118,1624394.1204069797,-74.44774058554538,3724042.1413125377,0.013111399294841303,655.8675846631529,7.613244555406161e-06
^W5000,4,2,8620,log-return volatility,1,2.90102512699336e-05,2.0852624096510584e-06,0.10899770517652914,0.00524800874783942,-567493908.1233671,1932515123.2912571,48273.86143616517,1263924.3304058178,14.508569724870672,297.8916930114045,0.055541572397503666,334,8350,0.002567731659046428,0.0003527842943072493,0.022604656844644973,0.005394027672242305,0.8406636191224727,0.09655489209874747,4865439.678936372,1791061470689.7896,1493.0078954384123,615859108.9080338,-0.4681899815438163,71176.11009433195,0.29716487176198236
